Hull Roebank Rbt,16511793,53.793,-0.349
Hull Kingswood Retail,16521795,53.795,-0.348
Hull Interchange,16531745,53.745,-0.347
Hull Ferensway North,16531749,53.749,-0.347
Hull Paragon Rail,16541744,53.744,-0.346
Hull Kingston Retail,16551739,53.739,-0.345
Hull Arena,16561738,53.738,-0.344
Hull Mytongate Rbt,16561741,53.741,-0.344
Hull Ferensway South,16561743,53.743,-0.344
Hull Paragon Square,16561744,53.744,-0.344
Hull Ennerdale Rbt,16561780,53.780,-0.344
Wawne Village,16581816,53.816,-0.342
Routh Village,16601871,53.871,-0.340
Mkt Rasen,16621388,53.388,-0.338
Hull Marina Lock,16631738,53.738,-0.337
Hull Market Place South,16661741,53.741,-0.334
Hull The Deep,16701739,53.739,-0.330
Hull North Bridge,16701748,53.748,-0.330
Hull Holwell Sutton Rbt,16701778,53.778,-0.330
Hull Drypool Bridge,16721745,53.745,-0.328
Hull Stoneferry Rbt,16721768,53.768,-0.328
Hull Leads Rd Rbt,16721771,53.771,-0.328
Hull Kingswood Academy,16721798,53.798,-0.328
Hull Garrison Rd Rbt,16771744,53.744,-0.323
Hull James Reckitt Rbt,16771756,53.756,-0.323
Hull Witham East,16781749,53.749,-0.322
Hull Bransholme Ctr,16781786,53.786,-0.322
Hull Garden Village,16831764,53.764,-0.317
Hull Mount Pleasant Jct,16841752,53.752,-0.316
Burton Agnes Hall,16842053,54.053,-0.316
Caistor,16851497,53.497,-0.315
Hunmanby Rail,16852174,54.174,-0.315
Hull Mount Pleasant Rbt,16861747,53.747,-0.314
Leven White Cross Rbt,16881879,53.879,-0.312
Hull Sutton Village,16921782,53.782,-0.308
Hull East Park,16991761,53.761,-0.301
Leven Catwick Rbt,17011893,53.893,-0.299
Brandesburton Village,17051912,53.912,-0.295
Filey Rail,17062210,54.210,-0.294
Hull Ings Maybury,17121766,53.766,-0.288
Hull Docks Rbt,17151748,53.748,-0.285
Habrough,17161614,53.614,-0.284
Hull King George Dock,17191741,53.741,-0.281
Hull Marfleet Rbt,17251748,53.748,-0.275
Beeford Village,17261973,53.973,-0.274
Habrough Rail,17311606,53.606,-0.269
Hull Diadem Rbt,17311773,53.773,-0.269
Skirlaugh Village,17341839,53.839,-0.266
Hull Ganstead Rbt,17391779,53.779,-0.261
Lissett Village,17462005,54.005,-0.254
Hull Bilton Asda,17471779,53.779,-0.253
Coniston A165,17501821,53.821,-0.250
Coniston Village,17511801,53.801,-0.249
Hull Saltend Rbt,17671741,53.741,-0.233
Bilton Village,17671780,53.780,-0.233
Seaton Village,17701904,53.904,-0.230
New Ellerby Village,17741838,53.838,-0.226
Hatfield Villages,17931870,53.870,-0.207
Preston Village,18001757,53.757,-0.200
Hedon Town,18011741,53.741,-0.199
Bridlington Rail,18012084,54.084,-0.199
Preston SHTC,18021751,53.751,-0.198
Burton Constable Hall,18061814,53.814,-0.194
Sproatley Village`,18091793,53.793,-0.191
Withernwick Village,18161848,53.848,-0.184
Laceby,18201536,53.536,-0.180
Bempton Rail,18202128,54.128,-0.180
Thorngumbald Village,18211722,53.722,-0.179
Bempton Village,18212132,54.132,-0.179
Hornsea Freeport,18251900,53.900,-0.175
Hornsea Town,18251911,53.911,-0.175
Hornsea Beach,18391913,53.913,-0.161
Sewerby Hall,18392104,54.104,-0.161
Flamborough,18732113,54.113,-0.127
Aldbrough Village,18841828,53.828,-0.116
Keyingham Village,18901710,53.710,-0.110
Grimsby Town Rail,19131564,53.564,-0.087
Grimsby,19151566,53.566,-0.085
Cleethorpes,19711561,53.561,-0.029
Cleethorpes Rail,19711562,53.562,-0.029
Patrington Village,19871684,53.684,-0.013
Withernsea Town,20321731,53.731,0.032
Welwick Village,20331668,53.668,0.033
Hollym Village,20391706,53.706,0.039
Spurn Head,21121576,53.576,0.112
Easington Village,21141652,53.652,0.114
Kilnsea Village,21271622,53.622,0.127
Zeebrugge Harbour,51889340,51.340,3.189
